Ort;Verkaufsstelle;Vertriebsstellenart;Lage;Lat;Lon;Öffnungszeiten;;;;;;;;;;;;;;;;;;
Aschersleben;DB-Agenturen Rosenthal;Freie Agentur;"Herrenbreite 24
06449 Aschersleben";51.757383;11.4645115;"Mo–Fr 6.00–17.30
Sa + So 7.00–13.00 u. 10.00–16.00";;;;;;;;;;;;;;;;;;
Bernburg;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofstraße 1a
06406 Bernburg";51.79713;11.74897;"Mo-Fr 7.15–12.00 u. 12.45–17.30
Sa 7.15–11.00 u. 11.30–15.30
So 9.15–12.15 u. 12.45–17.30";;;;;;;;;;;;;;;;;;
Bitterfeld;DB Reisezentrum;Freie Agentur;"Bahnhofsplatz 2
39340 Haldensleben";51.6228004;12.3185248;Mo-Fr 7.15–12.00 u. 12.45–17.00;;;;;;;;;;;;;;;;;;
Burg (b Magdeburg);DB Agentur (Nicole Heinsberg);Freie Agentur;"Bahnhofsstraße 10
39288 Burg";52.27434;11.84101;"Mo 6.00–16.00
Di-Do 7.00–16.00
Fr 6.00–16.00
Sa 7.00–12.00";;;;;;;;;;;;;;;;;;
Dessau Hbf;DB Reisezentrum;DB Vertrieb GmbH;Fritz-Hesse-Straße 47                           06844 Dessau;51.8396934;12.2353271;"Mo 6.45–18.45
Di-Fr 7.30–18.30
Sa + So 10.30–13.00 u. 13.30–18.30";;;;;;;;;;;;;;;;;;
Genthin;DB Agentur (Nicole Heinsberg);Freie Agentur;"Bahnhofstraße 2
39307 Genthin";52.40573;12.15832;"Mo, Di, Do 5.45–14.00
Mi 7.30–14.00
Fr 7.45–15.00";;;;;;;;;;;;;;;;;;
Halberstadt;DB Reisezentrum;DB Vertrieb GmbH;" Bahnhofstraße 13
38820 Halberstadt";51.8991843;11.069922;"Mo 6.45–12.10 u. 12.25–18.00
Di, Fr 7.45–12.10 u. 12.25–18.00
Mi, Do 7.45–13.00 u. 13.45–18.00
Sa 7.45–10.10 u. 10.40–14.15
So 10.45–14.10 u. 14.40–17.15";;;;;;;;;;;;;;;;;;
Haldensleben;Wobau Haldensleben;Freie Agentur;"Bahnhofsplatz 2
39340 Haldensleben";52.2850279;11.4065837;Mo-Fr 6.00–16.30;;;;;;;;;;;;;;;;;;
Halle (Saale) Hbf.;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofsplatz 1
06112 Halle (Saale)";51.425433;11.988295;"Mo-Fr 6.00–20.00
Sa 7.00–20.00
So 8.00–20.00";;;;;;;;;;;;;;;;;;
Halle (Saale) Hbf.;Abellio Kundencenter;Abellio eigene Agentur;"Ernst-Kamieth-Str. 6
06112 Halle (Saale)";51.47516;11.98669;"Mo-Fr 6.00–20.00
Sa 8.00–18.30
So 8.00–18.15";;;;;;;;;;;;;;;;;;
Köthen;DB Reisezentrum;DB Vertrieb GmbH;Bahnhofsplatz 8                              06366 Köthen;51.7524;11.98847;"Mo-Fr 7.00–12.30 u. 13.15–17.15
Sa 7.00–11.00 u. 11.30–15.00
So 9.30–14.00 u. 14.30–18.00";;;;;;;;;;;;;;;;;;
Lutherstadt Eisleben;Agentur Abellio Rosenthal-Gruppe;Freie Agentur;"Bahnhofring 11
""Im Bahnhof""
06295 Lutherstadt Eisleben";51.5184158;11.551203;"Mo-Fr 5.00–18.00
Sa 8.00–16.00
So 12.00–18.00";;;;;;;;;;;;;;;;;;
Lutherstadt Wittenberg;DB Reisezentrum;DB Vertrieb GmbH;"Am Hauptbahnhof 1
06886 Lutherstadt Wittenberg";51.8641231;12.6569684;"Mo-Fr 7.30–18.30
Sa 7.00–11.30 u. 12.00–15.00
So 09.30–13.30 u. 14.00–17.30";;;;;;;;;;;;;;;;;;
Magdeburg Hbf;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofsstraße 69
39104 Magdeburg";52.1296217;11.627775;"Mo-Fr 6.00–20.00
Sa 7.00–19.00
So 8.00–20.00";;;;;;;;;;;;;;;;;;
Merseburg;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofsplatz 1
06217 Merseburg";51.3566843;11.9919222;"Mo-Fr 6.50–12.00 u. 12.45–17.05
Sa 6.50–11.30 u. 12.00–15.10
So 9.50–13.00 u. 13.30–18.00";;;;;;;;;;;;;;;;;;
Merseburg;Agentur Abellio (Unternehmensgruppe Dr. Eckert);Freie Agentur;"Bahnhofsplatz 1
06217 Merseburg";51.3566843;11.9919222;"Mo-Fr 5.00–19.00
Sa 7.00–18.00
So 8.00–19.00";;;;;;;;;;;;;;;;;;
Naumburg (Saale) Hbf;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofstraße 46
06618 Naumburg";51.1625882;11.7967494;"Mo-Fr 7.15–11.45 u. 12.30–17.35
Sa 7.30–11.30 u. 12.00–15.30
So 10.15–13.30 u. 14.00–18.20";;;;;;;;;;;;;;;;;;
Naumburg (Saale) Hbf;Agentur Abellio (Unternehmensgruppe Dr. Eckert);Freie Agentur;"Bahnhofstraße 46
06618 Naumburg";51.1625882;11.7967494;"Mo-Fr 5.00–19.30
Sa 7.00–19.00
So 8.00–19.30";;;;;;;;;;;;;;;;;;
Oschersleben;Servicebüro KVG Börde-Bus;Freie Agentur;Alte Post 2;52.03102;11.2269;Mo-Fr 6.45–16.00;;;;;;;;;;;;;;;;;;
Osterburg;DB-Agentur (Karin Laga);Freie Agentur;"Breitestraße 17
39606 Osterburg";52.788649;11.7529275;"Mo, Di 09.00–18.00
Mi 09.00–15.00
Do, Fr 09.00–18.00";;;;;;;;;;;;;;;;;;
Quedlinburg;Servicebüro Harzer Verkehrsbetriebe;Freie Agentur;"Bahnhofsplatz 1
06484 Quedlinburg";51.7851846;11.1521426;"Mo-Fr 6.00–11.45 u. 12.15–17.45
Sa + So 8.00–11.45 u. 12.15–14.30";;;;;;;;;;;;;;;;;;
Roßlau;Verbindungspunkt Mohs-Römer-Dosigk GbR;DB Vertrieb GmbH;"Luchplatz 2
06862 Dessau-Roßlau";51.884365;12.2389898;"Mo-Fr 10.00–18.00
Sa 10.00–14.00";;;;;;;;;;;;;;;;;;
Salzwedel;Fahrkarten-Schlegel;Freie Agentur;"Bahnhofstraße 7
29410 Salzwedel";52.85793;11.1615;"Mo-Do 08.00–12.00 u. 14.00–17.00
Fr 08.00–12.00";;;;;;;;;;;;;;;;;;
Sangerhausen;Agentur Abellio Rosenthal-Gruppe;Freie Agentur;"Am Bahnhof
06526 Sangerhausen";51.479891;11.294515;" Mo–Fr 5.30–17.45
Sa 7.45–13.45
So  11.45–17.00";;;;;;;;;;;;;;;;;;
Schönebeck (Elbe);"Reiseagentur ""Fahrt Frei""";Freie Agentur;"Bahnhofstraße 39
39218 Schönebeck/Elbe";52.0201465;11.7297757;"Mo 5.00–18.00
Di-Fr 6.00–18.00
Sa  7.00–13.00
So  10.00–16.00";;;;;;;;;;;;;;;;;;
Stendal;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofsstraße 34
39576 Stendal";52.5949171;11.8548816;"Mo 6.00–17.30
Di-Fr 7.30–17.30
Sa 7.30–13.30
So 11.30–19.00";;;;;;;;;;;;;;;;;;
Thale;Thale-Information;HEX eigene Agentur;"Bahnhofstraße 6
06502 Thale";51.7455466;11.0306649;"Mo- Fr 8.00–18.00
Sa + So 9.00–15.00";;;;;;;;;;;;;;;;;;
Weißenfels;Reiseagentur A-Z GbR;Freie Agentur;"Zum Bahnhof 2
06667 Weißenfels";51.2044024;11.9712177;"Mo-Fr 6.00–12.10 u. 12.40–17.45
Sa 8.00–14.00
So 12.00–18.00";;;;;;;;;;;;;;;;;;
Weißenfels;Abellio Ticket-Shop;Freie Agentur;"Tabak- und Zeitschriftenoase Gerald Kraft
Promenade 44
06667 Weißenfels";51.2028126;11.972814;"Mo-Fr 7.00–19.00
Sa 8.00–13.00";;;;;;;;;;;;;;;;;;
Wernigerode;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofplatz 1
38855 Wernigerode";51.8400585;10.789058;"Mo-Fr 7.30–11.45 u. 12.30–17.45
Sa 7.55–11.45 u. 12.15–15.25
So 7.55–11.45 u. 12.30–17.10";;;;;;;;;;;;;;;;;;
Wolmirstedt;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofstraße 17
39326 Wolmirstedt";52.25018;11.63517;Mo-Fr 05:45–9:00 u. 9:30–13:45;;;;;;;;;;;;;;;;;;
Zeitz;Reiseagentur A –Z;Freie Agentur;"Baenschstraße 6
06712 Zeitz";51.05605;12.13049;"Mo-Fr 6.30–12:10 u. 12:40–17:15 
Sa 7:30–13:30
So 12:00–18:00";;;;;;;;;;;;;;;;;;
Zerbst;Reisecenter am Bahnhof;DB Vertrieb GmbH;"F.-J.-W.-Stengel-Platz
39261 Zerbst/Anhalt";51.954306;12.089493;"Mo-Fr 5:30–18:00
Sa 7:00–12:00
So 14:00–19:00";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
